wind_speed,lower_wind_speed,upper_wind_speed,E33_power_lower,E44_power_lower,E48_power_lower,E53_power_lower,E70_power_lower,E82_power_lower,E33_power_upper,E44_power_upper,E48_power_upper,E53_power_upper,E70_power_upper,E82_power_upper,E33_power_output,E44_power_output,E48_power_output,E53_power_output,E70_power_output,E82_power_output,E33_efficiency,E44_efficiency,E48_efficiency,E53_efficiency,E70_efficiency,E82_efficiency
13.24425,13,14,335,790,790,810,2080,2050,335,850,810,810,2230,2050,335,804.655,794.885,810,2116.6375,2050,0.268703788,0.371900085,0.308705056,0.258997511,0.375709092,0.272802328
12.075,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,321.125,716,753,782.25,1913.5,2003.75,0.339878577,0.436666904,0.385882522,0.330047795,0.448181965,0.351850715
13.81025,13,14,335,790,790,810,2080,2050,335,850,810,810,2230,2050,335,838.615,806.205,810,2201.5375,2050,0.2370016,0.341866604,0.276161045,0.228440488,0.344674214,0.240616586
13.07475,13,14,335,790,790,810,2080,2050,335,850,810,810,2230,2050,335,794.485,791.495,810,2091.2125,2050,0.279290214,0.381666633,0.319499031,0.269201527,0.385820513,0.283550228
10.97125,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,291.5695,596.1475,667.665,741.15375,1579.44875,1882.0075,0.411419479,0.484712328,0.456154357,0.416900732,0.493201663,0.440584624
8.002,8,9,138,238,284,336,626,815,196,340,405,480,892,1180,138.116,238.204,284.242,336.288,626.532,815.73,0.50229568,0.499174144,0.500511615,0.487537932,0.504237272,0.492183573
8.46575,8,9,138,238,284,336,626,815,196,340,405,480,892,1180,165.0135,285.5065,340.35575,403.068,749.8895,984.99875,0.506797251,0.505263999,0.506125624,0.493485827,0.509669075,0.501898251
8.8095,8,9,138,238,284,336,626,815,196,340,405,480,892,1180,184.951,320.569,381.9495,452.568,841.327,1110.4675,0.504096864,0.503461674,0.504050114,0.491725516,0.50745598,0.502144134
6.9865,6,7,55,96,120,141,240,321,92,156,191,228,400,532,91.5005,155.19,190.0415,226.8255,397.84,529.1515,0.499983381,0.4886337,0.50279507,0.494089436,0.481079426,0.479708443
9.697,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,233.638,427.822,509.55,595.005,1122.707,1481.104,0.477465927,0.503790066,0.504192255,0.484731351,0.507740226,0.502168757
10.7325,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,281.351,564.155,639.97,717.5175,1491.8275,1815.635,0.424088859,0.48999813,0.467066238,0.43114414,0.497626208,0.454048427
11.2985,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,300.9192,632.835,694.5815,754.746,1682.535,1922.835,0.38877526,0.471114849,0.434492609,0.38871485,0.481048722,0.412150632
10.997,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,292.6716,599.598,670.652,743.703,1588.899,1889.166,0.410080387,0.484101215,0.454983974,0.415402915,0.492675476,0.439161001
11.08475,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,295.1052,609.3225,677.69525,747.051,1616.2725,1899.3225,0.403747872,0.480361486,0.448929644,0.407441465,0.489355196,0.431119161
10.963,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,291.2164,595.042,666.708,740.337,1576.421,1879.714,0.411849628,0.484906551,0.456529635,0.417382171,0.493368363,0.441041904
13.64875,13,14,335,790,790,810,2080,2050,335,850,810,810,2230,2050,335,828.925,802.975,810,2177.3125,2050,0.245514565,0.350054185,0.284934435,0.236645943,0.353125806,0.2492594
